number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,params_max_iter,params_selection,params_tol,user_attrs_mae,user_attrs_r2,user_attrs_rmse,user_attrs_spearman_rho,state
139,0.39430481095036535,2025-12-22 13:07:18.650715,2025-12-22 13:07:20.133862,0 days 00:00:01.483147,0.042560317980803196,0.14268330020834885,19378,random,0.0001899096990151749,0.7631029486656189,0.05018883943557739,1.0922586917877197,0.39430481095036535,COMPLETE
140,0.4275366428563141,2025-12-22 13:07:20.133984,2025-12-22 13:07:22.929845,0 days 00:00:02.795861,0.02775768721598098,0.054873520762051715,17756,random,9.51005486695126e-05,0.7558140754699707,0.05576431751251221,1.089048147201538,0.4275366428563141,COMPLETE
141,0.4449355086852802,2025-12-22 13:07:22.929988,2025-12-22 13:07:30.901772,0 days 00:00:07.971784,0.007837531634184599,0.07232783866840431,19104,random,4.858126743252985e-05,0.7589365243911743,0.06204783916473389,1.085418462753296,0.4449355086852802,COMPLETE
142,0.44476050153059515,2025-12-22 13:07:30.901935,2025-12-22 13:07:40.809529,0 days 00:00:09.907594,0.005970222092960954,0.1024435434433826,18495,random,3.7317749066625095e-05,0.7603034973144531,0.060224294662475586,1.086472988128662,0.44476050153059515,COMPLETE
143,0.4455939587055182,2025-12-22 13:07:40.809691,2025-12-22 13:07:49.051666,0 days 00:00:08.241975,0.008185240570159782,0.10065406179675512,18677,random,4.401404414220702e-05,0.7567089796066284,0.06588560342788696,1.0831955671310425,0.4455939587055182,COMPLETE
144,0.4457843643987417,2025-12-22 13:07:49.051832,2025-12-22 13:07:55.843601,0 days 00:00:06.791769,0.009850552300506927,0.07442181120688984,18616,random,4.3857868187028735e-05,0.755864143371582,0.06700283288955688,1.082547664642334,0.4457843643987417,COMPLETE
145,0.44424469328255317,2025-12-22 13:07:55.843790,2025-12-22 13:08:03.154098,0 days 00:00:07.310308,0.009597826298042596,0.05129486863853421,17347,random,4.57907931257063e-05,0.7587289810180664,0.06218463182449341,1.0853393077850342,0.44424469328255317,COMPLETE
146,0.431274518381783,2025-12-22 13:08:03.154266,2025-12-22 13:08:08.225127,0 days 00:00:05.070861,0.017175333341768215,0.08371454004788104,18827,random,2.6507046561100003e-05,0.7577581405639648,0.05507552623748779,1.0894452333450317,0.431274518381783,COMPLETE
147,0.44561064334702005,2025-12-22 13:08:08.225302,2025-12-22 13:08:14.729976,0 days 00:00:06.504674,0.01023214420828093,0.06741627274794028,19221,random,6.554376076352687e-05,0.7559412717819214,0.06663095951080322,1.0827633142471313,0.44561064334702005,COMPLETE
148,0.4327029901674688,2025-12-22 13:08:14.730237,2025-12-22 13:08:28.793489,0 days 00:00:14.063252,0.003401655952120663,0.06812243320717361,18507,random,7.257447038056627e-05,0.7784320712089539,0.02795964479446411,1.104966163635254,0.4327029901674688,COMPLETE
149,0.4409171169862962,2025-12-22 13:08:28.793658,2025-12-22 13:08:35.267425,0 days 00:00:06.473767,0.010626708794572217,0.10464653445930988,19494,random,5.215455589124018e-05,0.7570289969444275,0.06279563903808594,1.084985613822937,0.4409171169862962,COMPLETE
150,0.4246167797045333,2025-12-22 13:08:35.267634,2025-12-22 13:08:52.315541,0 days 00:00:17.047907,0.0024186301729194164,0.0495687172782046,19144,random,8.722117606347258e-05,0.7916892170906067,-0.0004991292953491211,1.12102472782135,0.4246167797045333,COMPLETE
151,0.4194644407378865,2025-12-22 13:08:52.315724,2025-12-22 13:08:55.606289,0 days 00:00:03.290565,0.027144162847555036,0.078774348399062,18599,random,4.4090228228706265e-05,0.7593416571617126,0.04674959182739258,1.0942343473434448,0.4194644407378865,COMPLETE
152,0.43896812047065753,2025-12-22 13:08:55.606497,2025-12-22 13:09:01.384439,0 days 00:00:05.777942,0.013997478259802937,0.004466009193708792,18014,random,5.9072914705095114e-05,0.7627623677253723,0.05365663766860962,1.0902628898620605,0.43896812047065753,COMPLETE
153,0.44021454854551695,2025-12-22 13:09:01.384587,2025-12-22 13:09:10.520488,0 days 00:00:09.135901,0.008006265554116987,0.04004158927268559,19215,random,3.4229717988437774e-05,0.7638663649559021,0.05396085977554321,1.0900875329971313,0.44021454854551695,COMPLETE
154,0.43424621888502013,2025-12-22 13:09:10.520660,2025-12-22 13:09:14.497657,0 days 00:00:03.976997,0.019433540325456876,0.06424972027314524,17566,random,6.994696220432835e-05,0.7560005187988281,0.059486985206604004,1.0868991613388062,0.43424621888502013,COMPLETE
155,0.3955113837121683,2025-12-22 13:09:14.497830,2025-12-22 13:09:15.901931,0 days 00:00:01.404101,0.056146253243512606,0.09358149782803155,18196,random,0.00010257200193686088,0.7621443271636963,0.050290584564208984,1.0922001600265503,0.3955113837121683,COMPLETE
